first_name,last_name,id_number,employment_start_date,monthly_salary,department,multisport
Aldona,Zielińska,KA/334253/2016,2016-09-25T00:00:00,4769.35 złotych ,KADRY,False  
Leszek,Sikorski,MA/751079/2015 ,2015/08/22 ,"5 252,8 zł",MARKETING,FAŁSZ
RÓŻA,Jasińska,ka/882461/2015,2015-08-22,3952.81 pln,KADRY,false
wioletta ,Malinowska,KS/606477/2012,2012/06/28,"6 764,560000000001 PLN",KSIĘGOWOŚĆ,TAK
Łucja,MAJEWSKA,LO/538692/2017,2017-07-22,3835.9035000000003 złotych,LOGISTYKA,True
CZESŁAW,Kowalczyk,LO/883957/2010 ,2010-04-20,4442.31 pln,LOGISTYKA,Fałsz
Arkadiusz,Szewczyk,IT-325444-2011,2011-10-22,8183.450000000001 złotych,IT,TAK
Antonina ,Nowicka,OC/906306/2015,2015-02-03,2581.92 PLN,OCHRONA,nie ma
michalina,Ostrowska,sp/377005/2012 ,2012-11-25,4143.4800000000005 ZŁ,SPRZEDAŻ,PRAWDA
Ludwik,szulc,CZ-813666-2016,2016/11/14 ,2872.0 pln,CZYSTOŚĆ,Nie
Teresa,Kozłowska,LO/514965/2016,2016-08-06  ,3631.5000000000005 złotych,LOGISTYKA,nie ma 
Bronisław,Wysocki ,SP/930139/2009 ,2009-11-21,"3 449,1000000000004 ZŁ",SPRZEDAŻ ,FAŁSZ
Alicja,Malinowska,MA_185332_2011,2011/12/11,4337.6 zł,MARKETING ,nie ma
Józef,Pawłowski,KS/221995/2010,2010-11-06,5866.0 ZŁ,KSIĘGOWOŚĆ,nie
Marek,Wójcik,ma/524982/2013,2013-03-05,4327.36 zł,MARKETING,0
franciszka,Wójcik,SP-428377-2017,2017-07-22,4654.650000000001 złotych,SPRZEDAŻ     ,true
DOROTA,MICHALAK  ,MA_617786_2010,2010-01-10,4185.4400000000005 pln,MARKETING,Fałsz
Ilona,Jaworska,MA.295550.2010,2010-03-01,3884.4800000000005 zł,MARKETING,nie ma
wojciech,kamiński,SP_609419_2014, ,3829.5 złotych,SPRZEDAŻ,NIE MA
jadwiga,wieczorek,LO/242027/2017,2017/01/03,3816.4500000000003 zł,LOGISTYKA,nie
,Jasińska,oc/783292/2011,2011/07/14,2935.097 PLN,OCHRONA,
Henryka,Górska,MA/132118/2014,2014/05/29,4951.408000000001 pln,MARKETING,MA
Antonina,Kamińska,SP/280309/2012,,"3 834,0 złotych",SPRZEDAŻ,nie
   ,Michalski,MA/900335/2010,2010/12/26,5137.6 pln,MARKETING,FAŁSZ
Honorata,pawłowska,SP-395460-2014 ,2014-04-09,4750.5 ZŁ,SPRZEDAŻ,Fałsz
edward,Nowicki,KS_232324_2010,2010-04-20,5117.200000000001 ZŁ,KSIĘGOWOŚĆ  ,TAK
Emilia,Wieczorek,KA/400100/2016,2016-08-06,"4 743,62 PLN",KADRY,false
Edyta,Kaczmarek,LO/620150/2016 ,2016-03-09,3488.9400000000005 pln,LOGISTYKA,nie
Gabriela,Malinowska,oc/765430/2010,2010/01/10,2519.0 pln,OCHRONA,NIE MA
Grażyna,Jasińska,SP.675466.2014  ,2014-07-18,3780.8999999999996 złotych,SPRZEDAŻ,
Jan,,LO/656971/2017,2017-06-02,3572.9100000000008 pln,LOGISTYKA,PRAWDA
Tadeusz,KAMIŃSKI,MA/561785/2012,2012/08/17,5504.96 pln,MARKETING,False
Stanisław ,ADAMSKI,KS/614728/2012,2012-05-09T00:00:00,5059.6 PLN,KSIĘGOWOŚĆ,Nie 
KAROL,Grabowski,KA.162932.2018,2018-03-29,"4 967,006 ZŁ  ",KADRY,true
Natalia,Pawłowska,ma/308635/2010,2010-06-09,4803.2 złotych,MARKETING,nie  
Bernadeta ,Kaczmarek,KA/326362/2017,2017-07-22T00:00:00,"4 600,245 PLN",KADRY  ,nie ma
Mirosława,Kaczmarek ,SP/278010/2015,2015-10-11,"3 151,5 złotych",SPRZEDAŻ,False
Czesława,ZIELIŃSKA,MA-962866-2016,2016-04-28,4441.6 zł,MARKETING,0
Cecylia,Malinowska,MA/235911/2013,2013-08-02,5894.240000000001 zł,MARKETING  ,Tak
mariola,Jankowska,SP/687231/2014,2014/04/09,3469.5 pln,SPRZEDAŻ,0
Bogumiła,Tomaszewska,LO/650663/2018,2018-02-07T00:00:00,"4 056,7500000000005 złotych",LOGISTYKA,False
Jacek,Kucharski,KS/612453/2010,2010-11-06,5724.0 pln,KSIĘGOWOŚĆ,0
Marcin,,OC.457841.2014,2014-09-06,3796.9800000000005 złotych ,OCHRONA,tak
Piotr,Urbański,SP/377249/2018 ,2018-08-26,4593.0 zł,SPRZEDAŻ,FAŁSZ  
Marcin,Michalski ,ma/936369/2017  ,2017-09-10T00:00:00,3985.2800000000007 PLN,MARKETING,Nie
Marek,Pietrzak,KS-324564-2011,2011-07-14,"6 033,0 PLN",KSIĘGOWOŚĆ,NIE MA
Maciej,ADAMSKI,ks/248791/2013,2013-12-30,6235.24 pln,KSIĘGOWOŚĆ,TAK
Karol,Król,KA/602111/2015,2015-10-11 ,4786.555 zł,KADRY,
RAFAŁ,sawicki,CZ-874937-2017,2017-02-22,2789.0 złotych,CZYSTOŚĆ,false
Natalia,Zielińska,ma/682072/2010,2010-09-17 ,3742.4 złotych,MARKETING  ,false
MARZENA  ,Pawlak,KA/742186/2014,2014-10-26,5354.475 ZŁ,KADRY,Nie
Julian,Krawczyk ,KS-101299-2011,2011/07/14,"4 420,2 złotych",KSIĘGOWOŚĆ,Nie
Bernadeta ,Kaczmarek,ka/326362/2017,2017-07-22T00:00:00,"4 600,245 PLN",KADRY  ,nie ma
Beata,Michalska,IT-739940-2011,2011-02-14,7012.500000000001 pln,IT,MA
Michał,,KS/158351/2017,2017-07-22,6995.560000000001 pln,,MA
Tadeusz,pietrzak,SP/177708/2016,2016-03-09  ,5021.700000000001 pln,SPRZEDAŻ,NIE 
Marian,Dąbrowski,oc/770944/2015,2015-05-14,"2 390,6300000000006 złotych",OCHRONA,False
Marcin,Sokołowski,IT/588305/2009,2009/11/21,5537.5 pln,IT,0
,Sikorski,KA/191186/2009,2009-06-24T00:00:00,4322.485 ZŁ,KADRY,nie ma
Grażyna,Sikora ,CZ/628051/2012,2012-10-06,"2 710,0 PLN",CZYSTOŚĆ,false
Jolanta,Grabowska,lo/992992/2014,2014-07-18,"3 252,15 PLN",LOGISTYKA,Nie
honorata,RUTKOWSKA,cz/980099/2017,2017-09-10,2527.8 zł,CZYSTOŚĆ,TAK
Izabela,Kozłowska,ma/739006/2018 ,2018-05-18,4098.400000000001 złotych,MARKETING,0
Wojciech,Adamski,CZ_357509_2010,2010-04-20,2332.1 PLN,CZYSTOŚĆ,nie ma
Leszek,Borkowski,lo/515839/2017,2017-07-22T00:00:00,"3 709,8270000000007 PLN",LOGISTYKA,1
Marzena,Zając,ks/586396/2012,2012-05-09,"6 572,0 ZŁ",KSIĘGOWOŚĆ ,nie
Henryk,Makowski,ks/325509/2018,,4292.6 PLN,KSIĘGOWOŚĆ,0
Leokadia,woźniak,oc/793525/2018,2018/02/07 ,3722.928000000001 PLN,OCHRONA,ma
wiktor,Szewczyk,MA-507016-2018,2018-05-18T00:00:00,5297.6 ZŁ,MARKETING,FAŁSZ
Lucyna,Wróbel  ,za/784368/2017,2017/09/10,"75 907,5 ZŁ",ZARZĄD,FAŁSZ
Janina,GRABOWSKA,SP/614756/2014,2014-12-15,3612.0 złotych,SPRZEDAŻ,Nie
Franciszka,Wojciechowska,KS/657454/2011 ,2011/12/11,6637.400000000001 PLN,KSIĘGOWOŚĆ,tak
Andrzej,Kaźmierczak,CZ-249583-2018,2018-05-18,2844.0 ZŁ,CZYSTOŚĆ,Fałsz
Ireneusz,Sawicki,CZ/693076/2015,2015/08/22,2134.3 PLN,CZYSTOŚĆ,nie ma
,Tomaszewski,MA/852899/2010,2010-09-17,"4 632,320000000001 ZŁ",MARKETING,Prawda
celina,Piotrowska,MA/706801/2013  ,2013-09-21,3801.6000000000004 złotych,MARKETING,NIE MA
Kazimiera,Olszewska,KA.203925.2017,2017-09-10T00:00:00,"4 913,1900000000005 zł",KADRY,Fałsz
Przemysław,Wasilewski ,KA/726790/2016 ,2016-06-17,3702.9500000000003 PLN ,KADRY,
FELIKS,Szewczyk,ks/715271/2017,2017-04-13T00:00:00 ,4817.6 złotych,KSIĘGOWOŚĆ,Fałsz
Zenon,Maciejewski,KS/202387/2018,2018-08-26,6096.200000000001 pln,KSIĘGOWOŚĆ,Prawda
JAROSŁAW,Wasilewski,LO/978349/2009,2009-11-21T00:00:00,4011.5790000000006 zł,LOGISTYKA,PRAWDA
